Year,Race,Driver,Stint 1,Stint 2,Stint 3,Total Time (s),Actual Time (s),Delta
2024,Bahrain Grand Prix,VER,Soft:17,Hard:19,Soft:20,6115.44,5504.74,-610.7
2024,Bahrain Grand Prix,HAM,Soft:12,Hard:20,Hard:24,6171.52,5555.07,-616.46
2024,Bahrain Grand Prix,LEC,Soft:11,Hard:22,Hard:23,6102.26,5544.41,-557.85
2024,Saudi Arabian Grand Prix,VER,Medium:7,769.09
2024,Saudi Arabian Grand Prix,HAM,Soft:14,1439.07
2024,Saudi Arabian Grand Prix,LEC,Medium:7,776.19
2024,Spanish Grand Prix,VER,Soft:17,Medium:26,Soft:22,5877.58,5300.23,-577.35
2024,Spanish Grand Prix,HAM,Soft:16,Medium:26,Soft:23,5883.63,5318.02,-565.61
2024,Spanish Grand Prix,LEC,Soft:24,Medium:22,Soft:19,5951.36,5322.94,-628.43
2023,Bahrain Grand Prix,VER,Soft:14,Soft:21,Hard:21,6280.09,5636.74,-643.35
2023,Bahrain Grand Prix,HAM,Soft:12,Hard:17,Hard:27,6222.43,5687.71,-534.71
2023,Bahrain Grand Prix,LEC,Soft:13,Hard:19,3508.94,3886.12,377.17
2023,Saudi Arabian Grand Prix,VER,Medium:18,1951.93
2023,Saudi Arabian Grand Prix,HAM,Hard:18,1910.36
2023,Saudi Arabian Grand Prix,LEC,Soft:16,1613.05
2023,Spanish Grand Prix,VER,Medium:26,Hard:26,Soft:13,5930.85,5277.94,-652.91
2023,Spanish Grand Prix,HAM,Soft:24,Medium:26,Soft:15,6015.05,5302.03,-713.02
2023,Spanish Grand Prix,LEC,Hard:15,Soft:25,Hard:25,6064.28,5352.36,-711.92
2024,Belgian Grand Prix,VER,Medium:9,Hard:18,Medium:16,5259.56,4806.27,-453.3
2024,Belgian Grand Prix,HAM,Medium:11,Hard:14,Hard:18,5271.09,4797.57,-473.52
2024,Belgian Grand Prix,LEC,Medium:12,Hard:12,Hard:19,5242.16,4805.59,-436.57
2023,Monaco Grand Prix,VER,Medium:55,4610.08
2023,Monaco Grand Prix,HAM,Medium:31,Hard:22,4710.13,6571.04,1860.91
2023,Monaco Grand Prix,LEC,Hard:44,Medium:10,4861.54,6593.87,1732.33
